created_at,description,retweeted,followers_count,retweeted,id,id_str,in_reply_to_user_id_str,in_reply_to_screen_name,truncated,timestamp_ms,contributors,coordinates,lang,place,favorited,retweet_count,source,in_reply_to_status_id,geo,in_reply_to_status_id_str,is_quote_status,favorite_count,filter_level,in_reply_to_user_id,possibly_sensitive,extended_entities
Fri Feb 05 15:05:17 +0000 2016,,False,,False,695624238057680898,695624238057680898,,,False,1454684717083,,,ru,,False,0,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,False,0,low,,False,
Fri Feb 05 15:05:17 +0000 2016,,False,,False,695624238015840256,695624238015840256,,,False,1454684717073,,,ja,,False,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,False,0,low,,False,"{'media': [{'sizes': {'medium': {'w': 576, 'resize': 'fit', 'h': 1024}, 'large': {'w': 576, 'resize': 'fit', 'h': 1024}, 'small': {'w': 340, 'resize': 'fit', 'h': 604}, 'thumb': {'w': 150, 'resize': 'crop', 'h': 150}}, 'id_str': '695624237428707329', 'indices': [90, 113], 'display_url': 'pic.twitter.com/N8Nc10nKcE', 'media_url_https': 'https://pbs.twimg.com/media/CadajvEXEAE7YSk.jpg', 'expanded_url': 'http://twitter.com/hedgehog0914/status/695624238015840256/photo/1', 'media_url': 'http://pbs.twimg.com/media/CadajvEXEAE7YSk.jpg', 'id': 695624237428707329, 'url': 'https://t.co/N8Nc10nKcE', 'type': 'photo'}]}"
Fri Feb 05 15:05:17 +0000 2016,,False,,False,695624239429382144,695624239429382144,,,False,1454684717410,,,en,,False,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,False,0,low,,,
Fri Feb 05 15:05:17 +0000 2016,,False,,False,695624240167452672,695624240167452672,,,False,1454684717586,,,ja,,False,0,"<a href=""http://autotweety.net"" rel=""nofollow"">autotweety.net</a>",,,,False,0,low,,False,
Fri Feb 05 15:05:17 +0000 2016,,False,,False,695624240473645056,695624240473645056,,,False,1454684717659,,,in,,False,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,False,0,low,,,
Fri Feb 05 15:05:17 +0000 2016,,False,,False,695624240339390465,695624240339390465,,,False,1454684717627,,,ja,,False,0,"<a href=""http://app-lis.com"" rel=""nofollow"">Book Twitter</a>",,,,False,0,low,,False,"{'media': [{'sizes': {'medium': {'w': 170, 'resize': 'fit', 'h': 170}, 'large': {'w': 170, 'resize': 'fit', 'h': 170}, 'small': {'w': 170, 'resize': 'fit', 'h': 170}, 'thumb': {'w': 150, 'resize': 'crop', 'h': 150}}, 'id_str': '695624240213524480', 'indices': [112, 135], 'display_url': 'pic.twitter.com/8cW8Cvgvd6', 'media_url_https': 'https://pbs.twimg.com/media/Cadaj5cUAAAslXS.jpg', 'expanded_url': 'http://twitter.com/_bookxx/status/695624240339390465/photo/1', 'media_url': 'http://pbs.twimg.com/media/Cadaj5cUAAAslXS.jpg', 'id': 695624240213524480, 'url': 'https://t.co/8cW8Cvgvd6', 'type': 'photo'}]}"
Fri Feb 05 15:05:17 +0000 2016,,False,,False,695624240893190144,695624240893190144,,,False,1454684717759,,,en,,False,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,False,0,low,,,
Fri Feb 05 15:05:17 +0000 2016,,False,,False,695624241601851392,695624241601851392,,,False,1454684717928,,,en,,False,0,"<a href=""http://marsproject.dip.jp/"" rel=""nofollow"">MARS_ON_Spotify_bot</a>",,,,False,0,low,,False,
Fri Feb 05 15:05:18 +0000 2016,,False,,False,695624242180841474,695624242180841474,,,False,1454684718066,,,en,,False,0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,False,0,low,,False,
Fri Feb 05 15:05:18 +0000 2016,,False,,False,695624242621186049,695624242621186049,,,False,1454684718171,,,en,,False,0,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,False,0,low,,False,"{'media': [{'sizes': {'medium': {'w': 105, 'resize': 'fit', 'h': 140}, 'large': {'w': 105, 'resize': 'fit', 'h': 140}, 'small': {'w': 105, 'resize': 'fit', 'h': 140}, 'thumb': {'w': 105, 'resize': 'crop', 'h': 140}}, 'id_str': '695624242478653441', 'indices': [124, 147], 'display_url': 'pic.twitter.com/6926s6kKup', 'media_url_https': 'https://pbs.twimg.com/media/CadakB4XIAEhu67.jpg', 'expanded_url': 'http://twitter.com/Yearfu__Tionqe/status/695624242621186049/photo/1', 'media_url': 'http://pbs.twimg.com/media/CadakB4XIAEhu67.jpg', 'id': 695624242478653441, 'url': 'https://t.co/6926s6kKup', 'type': 'photo'}]}"
